"id","listing_url","scrape_id","last_scraped","name","experiences_offered","thumbnail_url","medium_url","picture_url","xl_picture_url","host_id","host_url","host_name","host_since","host_location","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","street","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","country_code","country","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","calendar_updated","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","license","jurisdiction_names","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","withlicense"
679760,"https://www.airbnb.com/rooms/679760",20170323205238,"2017-03-24","Utopia between Bilbao and Vitoria","none","https://a0.muscache.com/im/pictures/9106448/a84cf5ed_original.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/9106448/a84cf5ed_original.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/9106448/a84cf5ed_original.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/9106448/a84cf5ed_original.jpg?aki_policy=x_large",3459806,"https://www.airbnb.com/users/show/3459806","Pablo","2012-09-03","Amurrio, Basque Country, Spain","within an hour","100%","N/A","t","https://a0.muscache.com/im/users/3459806/profile_pic/1346702096/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3459806/profile_pic/1346702096/original.jpg?aki_policy=profile_x_medium","",4,4,"t","t","Amurrio, Basque Country 01470, Spain",NA,"Amurrio","Ãlava","Amurrio","Basque Country","1470","Bilbao","Amurrio, Spain","ES","Spain",43.0497250389473,-2.99258728430611,"t","House","Private room",6,1,2,4,"Real Bed",NA,"90.0","","","",14,4,20,1,300,"2 days ago",NA,28,55,85,357,"2017-03-23",78,"2012-09-18","2017-02-20",96,10,10,10,10,9,9,"t","Inscrita en el Registro de Actividades Turisticas de Euskadi LVI0003",NA,"f","flexible","f","f",4,1.42,TRUE
17776561,"https://www.airbnb.com/rooms/17776561",20170323205238,"2017-03-24","El Ático de Utopía","none","https://a0.muscache.com/im/pictures/75bb7201-7458-4d42-a965-1afd3ff0231e.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/75bb7201-7458-4d42-a965-1afd3ff0231e.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/75bb7201-7458-4d42-a965-1afd3ff0231e.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/75bb7201-7458-4d42-a965-1afd3ff0231e.jpg?aki_policy=x_large",3459806,"https://www.airbnb.com/users/show/3459806","Pablo","2012-09-03","Amurrio, Basque Country, Spain","within an hour","100%","N/A","t","https://a0.muscache.com/im/users/3459806/profile_pic/1346702096/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3459806/profile_pic/1346702096/original.jpg?aki_policy=profile_x_medium","",4,4,"t","t","Amurrio, Euskadi 01470, Spain",NA,"Amurrio","Ãlava","Amurrio","Euskadi","1470","Bilbao","Amurrio, Spain","ES","Spain",43.0486590308504,-2.994109904628,"t","House","Entire home/apt",10,1,2,10,"Real Bed",NA,"100.0","","","200.0",25,4,20,1,1125,"today",NA,17,44,74,344,"2017-03-23",0,"","",NA,NA,NA,NA,NA,NA,NA,"t","",NA,"f","flexible","f","f",4,NA,FALSE
687431,"https://www.airbnb.com/rooms/687431",20170323205238,"2017-03-24","2 Ideal to visit the Basque Country","none","https://a0.muscache.com/im/pictures/9240014/26a734e3_original.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/9240014/26a734e3_original.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/9240014/26a734e3_original.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/9240014/26a734e3_original.jpg?aki_policy=x_large",3459806,"https://www.airbnb.com/users/show/3459806","Pablo","2012-09-03","Amurrio, Basque Country, Spain","within an hour","100%","N/A","t","https://a0.muscache.com/im/users/3459806/profile_pic/1346702096/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3459806/profile_pic/1346702096/original.jpg?aki_policy=profile_x_medium","",4,4,"t","t","Amurrio, Basque Country 01470, Spain",NA,"Amurrio","Ãlava","Amurrio","Basque Country","1470","Bilbao","Amurrio, Spain","ES","Spain",43.0494334404467,-2.99331899631659,"t","House","Private room",3,1,1,2,"Real Bed",NA,"50.0","","","",10,2,20,1,300,"2 days ago",NA,18,46,76,346,"2017-03-23",126,"2012-12-04","2017-02-11",98,10,10,10,10,9,10,"t","Inscrita en el Registro de Actividades Turisticas de Euskadi LVI0003",NA,"f","flexible","f","f",4,2.4,TRUE
708440,"https://www.airbnb.com/rooms/708440",20170323205238,"2017-03-24","3 Attic between Bilbao y Vitoria","none","https://a0.muscache.com/im/pictures/12022057-b9e1-4930-a743-6c8e9a14efc7.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/12022057-b9e1-4930-a743-6c8e9a14efc7.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/12022057-b9e1-4930-a743-6c8e9a14efc7.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/12022057-b9e1-4930-a743-6c8e9a14efc7.jpg?aki_policy=x_large",3459806,"https://www.airbnb.com/users/show/3459806","Pablo","2012-09-03","Amurrio, Basque Country, Spain","within an hour","100%","N/A","t","https://a0.muscache.com/im/users/3459806/profile_pic/1346702096/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3459806/profile_pic/1346702096/original.jpg?aki_policy=profile_x_medium","",4,4,"t","t","Amurrio, Basque Country 01470, Spain",NA,"Amurrio","Ãlava","Amurrio","Basque Country","1470","Bilbao","Amurrio, Spain","ES","Spain",43.0490430836226,-2.99450967424867,"t","House","Private room",6,1,1,1,"Real Bed",0,"50.0","","","",10,2,20,1,1125,"2 days ago",NA,28,55,85,358,"2017-03-23",42,"2013-04-01","2017-02-19",97,10,10,10,10,9,10,"t","Inscrita en el Registro de Actividades Turisticas de Euskadi LVI0003",NA,"f","flexible","f","f",4,0.87,TRUE
13794982,"https://www.airbnb.com/rooms/13794982",20170323205238,"2017-03-24","Apartamento en una Villa tranquila.","none","https://a0.muscache.com/im/pictures/7aa49f75-7b54-41fb-9e1e-d183ecd617a4.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/7aa49f75-7b54-41fb-9e1e-d183ecd617a4.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/7aa49f75-7b54-41fb-9e1e-d183ecd617a4.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/7aa49f75-7b54-41fb-9e1e-d183ecd617a4.jpg?aki_policy=x_large",77724039,"https://www.airbnb.com/users/show/77724039","Berta","2016-06-14","ES","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/686407f5-bb45-4ce7-a7e0-730f399e199a.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/686407f5-bb45-4ce7-a7e0-730f399e199a.jpg?aki_policy=profile_x_medium","",1,1,"t","f","Artziniega, País Vasco 01474, Spain",NA,"Artziniega","Ãlava","Artziniega","País Vasco","1474","Bilbao","Artziniega, Spain","ES","Spain",43.1226864125092,-3.12934189376683,"f","Apartment","Entire home/apt",4,1,3,3,"Real Bed",NA,"48.0","","","",15,1,0,1,1125,"yesterday",NA,22,52,82,357,"2017-03-23",3,"2016-11-12","2016-12-25",87,9,8,10,10,10,9,"t","",NA,"t","flexible","f","f",1,0.68,FALSE
13447729,"https://www.airbnb.com/rooms/13447729",20170323205238,"2017-03-24","Piso en Arceniega","none","https://a0.muscache.com/im/pictures/e092bfbe-aea2-4222-bd20-f6a6825b23a1.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/e092bfbe-aea2-4222-bd20-f6a6825b23a1.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/e092bfbe-aea2-4222-bd20-f6a6825b23a1.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/e092bfbe-aea2-4222-bd20-f6a6825b23a1.jpg?aki_policy=x_large",52738492,"https://www.airbnb.com/users/show/52738492","Raquel","2015-12-30","Bilbao, Basque Country, Spain","within a day","100%","N/A","f","https://a0.muscache.com/im/pictures/9849f7ef-a4a4-432f-b820-4e7a96c89947.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/9849f7ef-a4a4-432f-b820-4e7a96c89947.jpg?aki_policy=profile_x_medium","",1,1,"t","t","Artziniega, Euskadi 01474, Spain",NA,"Artziniega","Ãlava","Artziniega","Euskadi","1474","Bilbao","Artziniega, Spain","ES","Spain",43.1203013851174,-3.12821061556474,"f","Condominium","Entire home/apt",4,1,2,3,"Real Bed",NA,"40.0","","","",NA,1,0,1,30,"2 months ago",NA,0,0,0,186,"2017-03-23",7,"2016-07-11","2016-10-13",94,9,9,9,9,9,9,"t","",NA,"f","flexible","f","f",1,0.82,FALSE
7382100,"https://www.airbnb.com/rooms/7382100",20170323205238,"2017-03-24","Charly y Maria","none","https://a0.muscache.com/im/pictures/93653069/4b45c352_original.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/93653069/4b45c352_original.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/93653069/4b45c352_original.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/93653069/4b45c352_original.jpg?aki_policy=x_large",38066808,"https://www.airbnb.com/users/show/38066808","Charly Y Maria","2015-07-10","Bilbao, Basque Country, Spain","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/38066808/profile_pic/1437131324/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/38066808/profile_pic/1437131324/original.jpg?aki_policy=profile_x_medium","",1,1,"t","f","Artziniega, Euskadi 01474, Spain",NA,"Artziniega","Ãlava","Artziniega","Euskadi","1474","Bilbao","Artziniega, Spain","ES","Spain",43.122009040254,-3.13289914874387,"t","Townhouse","Private room",2,1,1,2,"Real Bed",NA,"60.0","","","",NA,1,0,1,1125,"8 months ago",NA,30,60,90,365,"2017-03-23",2,"2015-08-18","2016-08-10",100,10,10,10,10,8,10,"t","",NA,"t","flexible","f","f",1,0.1,FALSE
15416621,"https://www.airbnb.com/rooms/15416621",20170323205238,"2017-03-24","Casa Ayalesa. Habitación doble con baño + desayuno","none","https://a0.muscache.com/im/pictures/8870f0d6-5733-4ecf-92e6-d322db85c27a.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/8870f0d6-5733-4ecf-92e6-d322db85c27a.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/8870f0d6-5733-4ecf-92e6-d322db85c27a.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/8870f0d6-5733-4ecf-92e6-d322db85c27a.jpg?aki_policy=x_large",50631345,"https://www.airbnb.com/users/show/50631345","Ainara","2015-12-06","Bilbao, Basque Country, Spain","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/8eca04c1-874c-41b6-a255-bbcdaeec4c82.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/8eca04c1-874c-41b6-a255-bbcdaeec4c82.jpg?aki_policy=profile_x_medium","",3,3,"t","f","Menagarai, Basque Country 01477, Spain",NA,"Ayala","Ãlava","Menagarai","Basque Country","1477","Bilbao","Menagarai, Spain","ES","Spain",43.0936929649796,-3.06910614989764,"f","House","Private room",2,1,1,1,"Real Bed",NA,"70.0","","","",NA,1,0,1,10,"today",NA,27,57,87,178,"2017-03-23",1,"2016-10-30","2016-10-30",100,10,10,10,10,10,10,"t","",NA,"t","flexible","f","f",3,0.21,FALSE
7097336,"https://www.airbnb.com/rooms/7097336",20170323205238,"2017-03-24","Apartamento rural Arcos de Quejana","none","https://a0.muscache.com/im/pictures/90032269/b7852d23_original.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/90032269/b7852d23_original.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/90032269/b7852d23_original.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/90032269/b7852d23_original.jpg?aki_policy=x_large",37200979,"https://www.airbnb.com/users/show/37200979","Itziar","2015-07-01","US","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/37200979/profile_pic/1435741791/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/37200979/profile_pic/1435741791/original.jpg?aki_policy=profile_x_medium","",1,1,"t","f","Quejana, Euskadi 01477, Spain",NA,"Ayala","Ãlava","Quejana","Euskadi","1477","Bilbao","Quejana, Spain","ES","Spain",43.0788074496727,-3.07440550282502,"f","Apartment","Entire home/apt",4,1.5,2,3,"Real Bed",NA,"134.0","","","",NA,4,34,1,1125,"8 months ago",NA,30,60,90,365,"2017-03-23",0,"","",NA,NA,NA,NA,NA,NA,NA,"t","",NA,"f","flexible","f","f",1,NA,FALSE
13813112,"https://www.airbnb.com/rooms/13813112",20170323205238,"2017-03-24","Casa en un valle con encanto","none","https://a0.muscache.com/im/pictures/81ebed9f-6418-4991-94d5-ced5c8684a6c.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/81ebed9f-6418-4991-94d5-ced5c8684a6c.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/81ebed9f-6418-4991-94d5-ced5c8684a6c.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/81ebed9f-6418-4991-94d5-ced5c8684a6c.jpg?aki_policy=x_large",40098325,"https://www.airbnb.com/users/show/40098325","Mikel","2015-07-31","Laudio, Basque Country, Spain","within a day","100%","N/A","f","https://a0.muscache.com/im/pictures/c74b9430-bc42-448d-bd73-4b2e715fc2ab.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/c74b9430-bc42-448d-bd73-4b2e715fc2ab.jpg?aki_policy=profile_x_medium","",2,2,"t","f","Respaldiza, Euskadi 01476, Spain",NA,"Ayala","Ãlava","Respaldiza","Euskadi","1476","Bilbao","Respaldiza, Spain","ES","Spain",43.0802386532074,-3.04313069819747,"f","House","Entire home/apt",10,3,3,6,"Real Bed",NA,"225.0","","","500.0",40,1,0,2,1125,"8 months ago",NA,28,58,88,363,"2017-03-23",0,"","",NA,NA,NA,NA,NA,NA,NA,"t","",NA,"t","flexible","f","f",1,NA,FALSE
